epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,635.403,1.08715,0.37317,0.04778,0.64396,0.88299,0.96049,0.96014,0.97907,0.70637,0.95889,0.95996,0.97872,0.95433,1.01306,0.18895,0.01181,0.55607,0.82931,0.008152,0.008152,0.008152
58,645.15,1.06878,0.36207,0.04552,0.62963,0.88349,0.95897,0.96926,0.98199,0.71671,0.95807,0.96715,0.98277,0.95784,0.98603,0.19727,0.01227,0.55349,0.82553,0.008119,0.008119,0.008119
59,658.166,1.07751,0.36897,0.04748,0.62964,0.88173,0.96539,0.96887,0.98517,0.72341,0.96384,0.9672,0.98326,0.9589,0.97307,0.19651,0.01192,0.53783,0.82368,0.008086,0.008086,0.008086
60,667.613,1.07362,0.36621,0.04107,0.63281,0.87739,0.96755,0.97028,0.98459,0.72577,0.96677,0.96944,0.98514,0.96441,0.9553,0.17345,0.01161,0.52969,0.82399,0.008053,0.008053,0.008053
61,677.094,1.07848,0.37079,0.04691,0.62969,0.88008,0.96091,0.9633,0.98179,0.72162,0.95906,0.96115,0.98202,0.95949,0.97366,0.18774,0.01122,0.54373,0.82397,0.00802,0.00802,0.00802
62,686.556,1.08947,0.37486,0.04224,0.63286,0.88322,0.95882,0.96085,0.98243,0.71607,0.95888,0.95975,0.98211,0.96074,0.99449,0.18918,0.0098,0.53664,0.82719,0.007987,0.007987,0.007987
63,696.281,1.06075,0.35352,0.0378,0.61621,0.87552,0.97273,0.97275,0.98299,0.71878,0.97228,0.97231,0.9834,0.96208,0.99853,0.18658,0.01064,0.52668,0.82692,0.007954,0.007954,0.007954
64,708.129,1.07165,0.35966,0.04447,0.61129,0.87666,0.96419,0.96868,0.9843,0.72312,0.96344,0.96863,0.98379,0.96117,0.97351,0.18173,0.01053,0.51393,0.82293,0.007921,0.007921,0.007921
65,720.272,1.06921,0.36002,0.03783,0.61469,0.87798,0.95696,0.95413,0.98128,0.71403,0.95667,0.95372,0.98129,0.95805,1.00858,0.18667,0.0105,0.57933,0.83073,0.007888,0.007888,0.007888
66,732.87,1.08087,0.38105,0.04031,0.6137,0.87892,0.97188,0.96472,0.98431,0.72089,0.97195,0.96472,0.9845,0.96115,0.97826,0.19335,0.0102,0.53344,0.82583,0.007855,0.007855,0.007855
67,744.243,1.05703,0.33698,0.03908,0.6086,0.8784,0.96551,0.97189,0.98131,0.72293,0.96476,0.97106,0.98218,0.96088,0.98429,0.18487,0.01019,0.55603,0.82234,0.007822,0.007822,0.007822
68,755.453,1.07777,0.37268,0.0399,0.61006,0.8818,0.96592,0.96686,0.98242,0.72209,0.9642,0.96526,0.98198,0.96056,0.95156,0.17581,0.01014,0.53078,0.82384,0.007789,0.007789,0.007789
69,763.716,1.06481,0.36677,0.03584,0.5986,0.87685,0.96419,0.96285,0.98084,0.71791,0.965,0.96304,0.98165,0.95952,0.98066,0.18105,0.01072,0.56832,0.82564,0.007756,0.007756,0.007756
70,773.182,1.06188,0.34138,0.04092,0.6117,0.87837,0.94967,0.96151,0.98111,0.71937,0.94929,0.9611,0.98063,0.95845,0.94808,0.17634,0.00936,0.50885,0.82329,0.007723,0.007723,0.007723
71,783.256,1.04302,0.36244,0.03648,0.59707,0.87341,0.96057,0.96361,0.98642,0.73069,0.95848,0.96378,0.98595,0.96667,0.95937,0.17813,0.01077,0.50792,0.82505,0.00769,0.00769,0.00769
72,796.306,1.05561,0.35314,0.0368,0.597,0.8785,0.95822,0.96356,0.98259,0.72834,0.96273,0.96055,0.98323,0.96298,0.95545,0.18554,0.00987,0.53856,0.824,0.007657,0.007657,0.007657
73,808.996,1.05897,0.37197,0.03834,0.59992,0.87897,0.9588,0.95796,0.98413,0.73484,0.95884,0.95796,0.98498,0.9666,0.93757,0.16844,0.00864,0.54981,0.82145,0.007624,0.007624,0.007624
74,822.461,1.05058,0.3631,0.03667,0.60359,0.87616,0.94861,0.9498,0.97483,0.71562,0.94695,0.94932,0.97436,0.94932,0.95128,0.1893,0.0079,0.583,0.82555,0.007591,0.007591,0.007591
75,830.896,1.05198,0.35438,0.03456,0.59275,0.8772,0.94375,0.95024,0.97753,0.69737,0.94259,0.94898,0.97837,0.95334,1.07725,0.2018,0.00828,0.57827,0.83503,0.007558,0.007558,0.007558
76,840.576,1.05359,0.36921,0.03515,0.58354,0.87354,0.94094,0.95137,0.97382,0.69178,0.9409,0.95053,0.97345,0.94491,1.08328,0.21654,0.00865,0.55916,0.83486,0.007525,0.007525,0.007525
77,849.052,1.05636,0.35985,0.03435,0.58402,0.87722,0.97074,0.9626,0.98287,0.71959,0.97033,0.96219,0.9846,0.96114,0.97215,0.18187,0.00829,0.52534,0.82922,0.007492,0.007492,0.007492
78,861.193,1.04513,0.34481,0.0327,0.58404,0.8775,0.97277,0.965,0.98549,0.72561,0.97414,0.96307,0.98675,0.96329,0.92719,0.17037,0.00926,0.52934,0.82338,0.007459,0.007459,0.007459
79,871.684,1.04877,0.34152,0.03279,0.57388,0.87241,0.97269,0.96734,0.9863,0.72754,0.97192,0.96651,0.98606,0.96519,0.95949,0.17463,0.00898,0.50289,0.82369,0.007426,0.007426,0.007426
80,879.502,1.04185,0.34071,0.03367,0.57741,0.8727,0.93712,0.94407,0.97585,0.71431,0.93541,0.94259,0.9753,0.95363,0.98174,0.18541,0.00837,0.52339,0.82709,0.007393,0.007393,0.007393
81,892.323,1.03502,0.33535,0.03344,0.56991,0.87244,0.95821,0.97309,0.98564,0.72714,0.95739,0.9723,0.98639,0.96544,0.9408,0.17109,0.00819,0.4948,0.82334,0.00736,0.00736,0.00736
82,903.242,1.03931,0.34377,0.03419,0.57822,0.87159,0.96698,0.96664,0.98084,0.72292,0.96531,0.96441,0.98071,0.95851,0.97117,0.18682,0.00803,0.52306,0.82549,0.007327,0.007327,0.007327
83,914.668,1.04081,0.32695,0.03347,0.57994,0.87356,0.96047,0.96219,0.98209,0.71559,0.95923,0.96093,0.9823,0.96001,1.00897,0.1822,0.00736,0.56741,0.82676,0.007294,0.007294,0.007294
84,926.651,1.04545,0.34943,0.03251,0.57799,0.87271,0.9562,0.96609,0.98031,0.72366,0.95851,0.96279,0.98234,0.96074,0.953,0.17567,0.00661,0.5464,0.82164,0.007261,0.007261,0.007261
85,936.929,1.02027,0.34199,0.03056,0.56755,0.87057,0.96803,0.96539,0.98465,0.72714,0.96624,0.96728,0.98579,0.96459,0.94401,0.17835,0.00791,0.51799,0.82413,0.007228,0.007228,0.007228
86,945.187,1.0383,0.33339,0.03305,0.56979,0.87008,0.96822,0.96584,0.98643,0.73384,0.96818,0.96434,0.98591,0.96392,0.95681,0.17916,0.00773,0.51276,0.8219,0.007195,0.007195,0.007195
87,955.295,1.02621,0.33274,0.03157,0.5708,0.87108,0.97455,0.97759,0.98826,0.73738,0.97295,0.97592,0.98747,0.96922,0.92561,0.16356,0.00725,0.47251,0.82213,0.007162,0.007162,0.007162
